-----Word count-----
And - 1
Beatles - 1
I - 24
Michelle - 7
My - 2
Oh - 1
Ooh - 2
Sont - 3
The - 1
These - 1
Tr - 3
Until - 2
a - 1
all - 1
are - 1
belle - 4
bien - 6
by - 1
des - 3
do - 2
ensemble - 6
find - 1
get - 1
go - 1
hmm - 1
hoping - 1
know - 4
ll - 4
love - 4
m - 2
ma - 4
make - 1
me - 1
mean - 2
mots - 3
need - 4
now - 1
only - 2
ooh - 9
qui - 3
s - 7
say - 3
see - 1
so - 1
somehow - 1
telling - 1
that - 4
the - 2
think - 1
to - 7
together - 1
tr - 3
understand - 3
until - 1
vont - 3
want - 4
way - 1
well - 1
what - 2
will - 3
words - 3
you - 16
